batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1826,23,0.03009,0.667,2.0992,1.6095,0.346,0.413
1827,12,0.03399,0.667,2.0546,1.5951,0.38,0.435
1828,49,0.02736,0.667,2.1797,1.5817,0.277,0.341
1829,14,0.02968,0.667,2.148,1.6422,0.309,0.37
1830,16,0.03625,0.667,2.1937,1.6363,0.282,0.334
1831,30,0.03672,0.667,2.1879,1.6912,0.312,0.367
1832,22,0.04132,0.444,2.2084,1.6268,0.275,0.336
1833,14,0.02533,0.444,2.2229,1.6874,0.258,0.302
1834,13,0.02672,0.444,2.1273,1.6573,0.321,0.358
1835,26,0.0167,0.444,2.1714,1.6226,0.277,0.316
1836,28,0.00931,0.667,2.1844,1.6695,0.27,0.314
1837,16,0.02117,0.667,2.195,1.5898,0.239,0.318
1838,13,0.03147,0.667,2.1817,1.6325,0.258,0.32
1839,49,0.02706,0.667,2.2049,1.6526,0.219,0.278
1840,29,0.01877,0.667,2.1379,1.6595,0.303,0.363
1841,44,0.02474,0.667,2.132,1.6216,0.271,0.35
1842,17,0.02495,0.667,2.1983,1.664,0.271,0.341
1843,21,0.01664,0.667,2.2478,1.6607,0.205,0.261
1844,33,0.02397,0.667,2.1976,1.7006,0.255,0.314
1845,49,0.031,0.667,2.1784,1.6515,0.222,0.283
1846,20,0.02883,0.667,2.2195,1.6705,0.251,0.306
1847,20,0.02616,0.667,2.2308,1.6459,0.233,0.288
1848,15,0.0453,0.444,2.2765,1.7748,0.23,0.308
1849,17,0.01775,0.444,2.2706,1.7178,0.222,0.251
1850,19,0.01203,0.444,2.3009,1.7378,0.206,0.267
1851,19,0.01339,0.444,2.3043,1.748,0.221,0.267
1852,39,0.01073,0.444,2.2812,1.7592,0.262,0.309
1853,49,0.01993,0.444,2.2294,1.7367,0.306,0.35
1854,14,0.01459,0.444,2.1641,1.7089,0.329,0.377
1855,49,0.0127,0.444,2.2407,1.7502,0.24,0.288
1856,17,0.01473,0.444,2.1385,1.704,0.273,0.303
1857,17,0.01208,0.444,2.2364,1.7391,0.265,0.3
1858,9,0.00994,0.667,2.2099,1.7007,0.2,0.235
1859,21,0.02335,0.667,2.2664,1.7694,0.192,0.244
1860,17,0.01878,0.667,2.2311,1.761,0.248,0.295
1861,23,0.02832,0.667,2.2759,1.7817,0.223,0.261
1862,20,0.02502,0.667,2.2271,1.7252,0.219,0.265
1863,31,0.02879,0.667,2.2718,1.7418,0.235,0.279
1864,13,0.02003,0.667,2.1789,1.7216,0.248,0.301
1865,45,0.02218,0.667,2.1932,1.6823,0.217,0.281
1866,13,0.01563,0.667,2.237,1.7109,0.248,0.299
1867,36,0.02689,0.667,2.2994,1.7372,0.109,0.189
1868,11,0.03023,0.667,2.362,1.7958,0.188,0.218
1869,22,0.02735,0.667,2.3458,1.7326,0.146,0.203
1870,9,0.02647,0.667,2.3336,1.7255,0.179,0.238
1871,30,0.03229,0.667,2.3602,1.7672,0.191,0.237
1872,13,0.02353,0.667,2.3832,1.7939,0.17,0.242
1873,49,0.02469,0.667,2.3076,1.738,0.217,0.262
1874,21,0.02099,0.667,2.3084,1.7765,0.222,0.263
1875,17,0.01979,0.667,2.3114,1.7213,0.193,0.251
1876,49,0.02398,0.667,2.2793,1.6923,0.188,0.245
1877,49,0.04181,0.444,2.2845,1.7377,0.209,0.264
1878,49,0.02495,0.444,2.2118,1.735,0.265,0.291
1879,31,0.00977,0.667,2.3724,1.8019,0.174,0.245
1880,30,0.03138,0.667,2.3605,1.7775,0.233,0.266
1881,49,0.03558,0.667,2.312,1.6734,0.203,0.258
1882,25,0.0515,0.444,2.2689,1.7368,0.227,0.277
1883,12,0.02476,0.444,2.2315,1.7315,0.329,0.366
1884,16,0.02849,0.444,2.2172,1.7139,0.315,0.371
1885,21,0.01654,0.444,2.3435,1.7544,0.211,0.258
1886,19,0.02111,0.444,2.2127,1.7401,0.311,0.35
1887,15,0.01129,0.444,2.2235,1.7608,0.334,0.375
1888,32,0.02144,0.444,2.3045,1.7493,0.221,0.266
1889,49,0.01603,0.444,2.2101,1.6717,0.244,0.281
1890,13,0.01275,0.444,2.2145,1.6638,0.304,0.34
1891,14,0.01246,0.444,2.2448,1.7473,0.303,0.343
1892,19,0.0104,0.444,2.1924,1.6845,0.292,0.327
1893,49,0.00983,0.667,2.2415,1.7587,0.252,0.296
1894,21,0.02036,0.667,2.1887,1.7213,0.311,0.36
1895,33,0.0275,0.667,2.2491,1.746,0.245,0.3
1896,21,0.0277,0.667,2.1571,1.7116,0.376,0.426
1897,22,0.02964,0.667,2.1477,1.6408,0.302,0.354
1898,15,0.02906,0.667,2.2729,1.7148,0.27,0.329
1899,18,0.02131,0.667,2.17,1.6626,0.309,0.365
1900,28,0.02352,0.667,2.2707,1.7455,0.261,0.322
1901,11,0.02238,0.667,2.2155,1.7092,0.298,0.343
1902,15,0.02418,0.667,2.2352,1.7293,0.282,0.327
1903,17,0.0387,0.667,2.2631,1.7765,0.286,0.321
1904,11,0.0321,0.667,2.2742,1.708,0.209,0.253
1905,49,0.02663,0.667,2.2242,1.6954,0.217,0.266
1906,49,0.03834,0.667,2.222,1.674,0.251,0.29
1907,18,0.02141,0.667,2.247,1.6904,0.211,0.243
1908,15,0.01387,0.667,2.2412,1.6919,0.162,0.207
1909,21,0.02267,0.667,2.2208,1.7298,0.213,0.247
1910,17,0.01811,0.667,2.2475,1.7643,0.279,0.318
1911,21,0.01674,0.667,2.1819,1.7127,0.281,0.314
1912,19,0.02239,0.667,2.2021,1.7241,0.262,0.306
1913,49,0.03309,0.667,2.204,1.6934,0.19,0.228
1914,11,0.04292,0.444,2.1735,1.7281,0.264,0.327
1915,12,0.01881,0.444,2.1921,1.723,0.282,0.315
1916,35,0.01629,0.444,2.184,1.6895,0.275,0.303
1917,24,0.01354,0.444,2.1719,1.7061,0.237,0.27
1918,31,0.01431,0.444,2.1754,1.6608,0.22,0.245
1919,28,0.01785,0.444,2.1975,1.6894,0.282,0.307
1920,49,0.01224,0.444,2.1624,1.677,0.255,0.281
1921,23,0.02042,0.444,2.1504,1.643,0.303,0.321
1922,49,0.01678,0.444,2.179,1.6849,0.239,0.273
1923,15,0.01412,0.444,2.1236,1.6772,0.239,0.276
1924,18,0.01364,0.444,2.1467,1.6891,0.221,0.255
1925,31,0.01508,0.444,2.0888,1.6425,0.197,0.225
1926,24,0.00926,0.667,2.2221,1.7193,0.182,0.215
1927,49,0.03984,0.667,2.0768,1.6404,0.191,0.228
1928,17,0.0352,0.667,2.1586,1.6326,0.18,0.218
1929,32,0.02589,0.667,2.1584,1.6376,0.129,0.168
1930,49,0.02287,0.667,2.1661,1.7217,0.231,0.269
1931,30,0.02044,0.667,2.2198,1.6765,0.148,0.179
1932,17,0.02364,0.667,2.1685,1.7004,0.119,0.151
1933,25,0.02842,0.667,2.1811,1.7266,0.175,0.222
1934,49,0.02805,0.667,2.2099,1.6582,0.191,0.235
1935,49,0.02374,0.667,2.2826,1.7559,0.15,0.185
1936,15,0.02853,0.667,2.1789,1.6745,0.225,0.242
1937,13,0.02526,0.667,2.2564,1.7118,0.141,0.176
1938,35,0.02408,0.667,2.1903,1.6952,0.212,0.24
1939,15,0.01745,0.667,2.2203,1.6643,0.089,0.127
1940,17,0.03021,0.667,2.1531,1.6428,0.21,0.242
1941,19,0.02226,0.667,2.2497,1.6849,0.167,0.216
1942,25,0.02199,0.667,2.2444,1.6537,0.1,0.141
1943,28,0.02689,0.667,2.2113,1.682,0.188,0.221
1944,25,0.026,0.667,2.1602,1.6274,0.175,0.211
1945,11,0.02547,0.667,2.147,1.626,0.191,0.238
1946,24,0.022,0.667,2.1205,1.5592,0.149,0.189
1947,19,0.02335,0.667,2.1357,1.5837,0.149,0.205
1948,26,0.02015,0.667,2.1077,1.6006,0.211,0.25
1949,35,0.02405,0.667,2.1053,1.5675,0.212,0.248
1950,49,0.01682,0.667,2.0639,1.5308,0.177,0.207
1951,15,0.03698,0.667,2.1958,1.6381,0.164,0.206
1952,24,0.0205,0.667,2.1948,1.6462,0.162,0.196
1953,19,0.02529,0.667,2.1086,1.5623,0.185,0.221
1954,14,0.01882,0.667,2.0552,1.5805,0.283,0.312
1955,15,0.02244,0.667,2.0792,1.6157,0.182,0.214
1956,17,0.02596,0.667,2.0425,1.6173,0.224,0.268
1957,39,0.02964,0.667,2.1603,1.6487,0.196,0.248
1958,16,0.03071,0.667,2.0996,1.6573,0.286,0.337
1959,31,0.03227,0.667,2.0604,1.5877,0.299,0.349
1960,22,0.01941,0.667,2.1271,1.6335,0.232,0.292
1961,49,0.02751,0.667,1.984,1.6104,0.255,0.307
1962,20,0.02494,0.667,2.0821,1.5932,0.192,0.237
1963,10,0.02001,0.667,2.1114,1.6159,0.185,0.234
1964,24,0.0209,0.667,2.0372,1.5685,0.261,0.297
1965,23,0.01879,0.667,2.1133,1.5997,0.154,0.197
1966,36,0.01975,0.667,2.1031,1.5886,0.187,0.228
1967,41,0.02546,0.667,2.1132,1.5704,0.186,0.227
1968,27,0.02302,0.667,2.0972,1.5618,0.223,0.262
1969,16,0.02362,0.667,2.1461,1.5576,0.196,0.237
1970,11,0.02607,0.667,2.129,1.5891,0.186,0.238
1971,28,0.02987,0.667,2.1635,1.6404,0.201,0.24
1972,10,0.02973,0.667,2.0329,1.5445,0.25,0.295
1973,13,0.02913,0.667,2.1242,1.569,0.268,0.32
1974,49,0.03186,0.667,2.1192,1.5732,0.143,0.229
1975,17,0.02971,0.667,2.0767,1.5301,0.215,0.251
1976,14,0.04188,0.444,2.0709,1.5167,0.242,0.293
1977,14,0.01835,0.444,2.0965,1.5839,0.221,0.255
