batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
961,15,0.01832,0.444,2.3095,1.6178,0.243,0.278
962,31,0.02239,0.444,2.3277,1.6709,0.239,0.273
963,15,0.01796,0.444,2.263,1.5923,0.231,0.259
964,16,0.01493,0.444,2.2774,1.6293,0.279,0.334
965,13,0.01197,0.444,2.2419,1.6286,0.256,0.284
966,22,0.01594,0.444,2.2683,1.6231,0.261,0.289
967,33,0.0221,0.444,2.3654,1.6467,0.221,0.263
968,17,0.01481,0.444,2.286,1.6824,0.276,0.292
969,25,0.01457,0.444,2.361,1.6719,0.199,0.234
970,14,0.01685,0.444,2.3456,1.6802,0.263,0.289
971,13,0.0147,0.444,2.3502,1.6053,0.155,0.198
972,27,0.02228,0.444,2.3689,1.6651,0.23,0.27
973,49,0.01258,0.444,2.3194,1.656,0.2,0.231
974,15,0.02262,0.444,2.3705,1.6564,0.217,0.26
975,21,0.04112,0.296,2.2977,1.7112,0.251,0.289
976,18,0.02918,0.296,2.2834,1.597,0.22,0.246
977,14,0.00948,0.444,2.3793,1.627,0.197,0.218
978,15,0.02596,0.444,2.2953,1.6754,0.252,0.278
979,30,0.02261,0.444,2.2433,1.5562,0.26,0.294
980,11,0.03117,0.444,2.2654,1.6254,0.256,0.29
981,9,0.01571,0.444,2.2851,1.639,0.254,0.289
982,13,0.0163,0.444,2.2477,1.5622,0.232,0.264
983,11,0.01993,0.444,2.2438,1.6288,0.286,0.326
984,17,0.0188,0.444,2.2123,1.5779,0.299,0.339
985,15,0.01852,0.444,2.2704,1.6267,0.24,0.277
986,21,0.01904,0.444,2.262,1.6082,0.237,0.261
987,20,0.01768,0.444,2.2685,1.6349,0.193,0.226
988,19,0.02466,0.444,2.1921,1.6432,0.305,0.329
989,49,0.02649,0.444,2.247,1.6263,0.272,0.308
990,13,0.01546,0.444,2.2334,1.6227,0.245,0.281
991,11,0.01976,0.444,2.3141,1.6115,0.223,0.253
992,13,0.02966,0.444,2.268,1.6839,0.237,0.281
993,12,0.0443,0.296,2.1807,1.6327,0.264,0.313
994,29,0.01173,0.296,2.2169,1.6119,0.245,0.272
995,15,0.01628,0.296,2.2571,1.6491,0.264,0.293
996,17,0.01637,0.296,2.1416,1.6183,0.302,0.334
997,49,0.00816,0.444,2.2357,1.643,0.251,0.276
998,13,0.01173,0.444,2.1793,1.6364,0.322,0.346
999,11,0.01535,0.444,2.0968,1.5632,0.337,0.378
1000,21,0.02078,0.444,2.1643,1.6499,0.321,0.35
1001,22,0.01661,0.444,2.1173,1.5692,0.287,0.32
1002,25,0.01797,0.444,2.1692,1.6168,0.301,0.33
1003,27,0.01908,0.444,2.2041,1.6724,0.283,0.326
1004,34,0.02371,0.444,2.213,1.5729,0.25,0.279
1005,17,0.03362,0.444,2.1591,1.6263,0.29,0.329
1006,27,0.02788,0.444,2.1408,1.6117,0.328,0.356
1007,25,0.02024,0.444,2.1583,1.6428,0.297,0.334
1008,20,0.01604,0.444,2.1954,1.651,0.283,0.315
1009,11,0.01771,0.444,2.1571,1.617,0.338,0.36
1010,36,0.02013,0.444,2.302,1.6565,0.138,0.183
1011,25,0.01572,0.444,2.141,1.5836,0.304,0.323
1012,9,0.01775,0.444,2.1365,1.6102,0.309,0.338
1013,13,0.02279,0.444,2.1123,1.613,0.359,0.391
1014,22,0.01878,0.444,2.1557,1.6069,0.341,0.375
1015,25,0.0189,0.444,2.0512,1.544,0.332,0.363
1016,40,0.02193,0.444,2.1976,1.6453,0.229,0.256
1017,49,0.02332,0.444,2.1475,1.6245,0.28,0.308
1018,15,0.02575,0.444,2.1697,1.6356,0.315,0.338
1019,39,0.01428,0.444,2.2178,1.6404,0.265,0.289
