batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
309,1200,15.0,120,10000,0.01857,3.375,3.1794,2.5695,0.4,0.481
310,1200,22.5,180,10000,0.01825,3.375,3.1213,2.5479,0.46,0.548
311,1200,23.5,188,10000,0.02331,3.375,3.2965,2.5619,0.324,0.443
312,1200,19.0,152,10000,0.03071,3.375,3.2515,2.605,0.333,0.455
313,1200,21.8,174,10000,0.01806,3.375,3.2689,2.6859,0.382,0.483
314,1200,25.2,202,10000,0.01897,3.375,3.1853,2.6654,0.403,0.473
315,1200,25.8,206,10000,0.01228,3.375,3.2471,2.7311,0.307,0.405
316,1200,24.5,196,10000,0.01666,3.375,3.2649,2.6989,0.322,0.43
317,1200,29.0,232,10000,0.0162,3.375,3.2412,2.5855,0.305,0.403
318,1200,23.2,186,10000,0.01735,3.375,3.173,2.5468,0.391,0.488
319,1200,20.8,166,10000,0.01925,3.375,3.1971,2.5636,0.371,0.473
320,1200,18.5,148,10000,0.01603,3.375,3.1079,2.5411,0.363,0.454
321,1200,20.2,162,10000,0.0148,3.375,3.3064,2.6713,0.3,0.413
322,1200,15.8,126,10000,0.01716,3.375,3.1483,2.6129,0.399,0.498
323,1200,20.8,166,10000,0.02508,3.375,3.3392,2.7091,0.245,0.351
324,1200,16.0,128,10000,0.01823,3.375,3.242,2.6075,0.337,0.463
325,1200,26.2,210,10000,0.0233,3.375,3.3525,2.6057,0.258,0.37
326,1200,23.5,188,10000,0.01983,3.375,3.1014,2.613,0.395,0.502
327,1200,23.0,184,10000,0.01706,3.375,3.3063,2.6625,0.402,0.493
328,1200,22.5,180,10000,0.01469,3.375,3.2408,2.6633,0.415,0.516
329,1200,27.0,216,10000,0.01402,3.375,3.1971,2.6292,0.363,0.443
330,1200,27.2,218,10000,0.01418,3.375,3.1069,2.5587,0.413,0.502
331,1200,22.5,180,10000,0.02039,3.375,3.1923,2.6473,0.393,0.481
332,1200,24.2,194,10000,0.01867,3.375,3.235,2.7198,0.395,0.48
333,1200,24.2,194,10000,0.02072,3.375,3.1803,2.6693,0.282,0.418
334,1200,24.8,198,10000,0.01599,3.375,3.1937,2.6692,0.421,0.509
335,1200,28.2,226,10000,0.02144,3.375,2.9669,2.4802,0.489,0.586
336,1200,19.2,154,10000,0.02464,3.375,3.2483,2.5308,0.354,0.458
337,1200,25.5,204,10000,0.02524,3.375,3.1106,2.598,0.468,0.574
