batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
240,12,0.01754,0.296,2.4354,1.8178,0.355,0.418
241,11,0.01513,0.296,2.3917,1.8528,0.393,0.436
242,11,0.01366,0.296,2.3513,1.82,0.374,0.449
243,7,0.00836,0.444,2.3876,1.8043,0.388,0.436
244,11,0.01913,0.444,2.3313,1.7841,0.327,0.41
245,12,0.02589,0.444,2.3814,1.8302,0.329,0.425
246,9,0.02013,0.444,2.3174,1.7456,0.407,0.471
247,11,0.03142,0.444,2.256,1.7596,0.383,0.473
248,8,0.02029,0.444,2.3711,1.8794,0.401,0.464
249,7,0.048,0.296,2.2873,1.7275,0.369,0.467
250,16,0.0129,0.296,2.4052,1.8628,0.419,0.467
251,12,0.0229,0.296,2.3181,1.8379,0.413,0.484
252,9,0.01911,0.296,2.3783,1.7696,0.361,0.425
253,7,0.01205,0.296,2.3145,1.8184,0.435,0.503
254,10,0.01726,0.296,2.4115,1.839,0.347,0.398
255,13,0.01322,0.296,2.3736,1.8252,0.369,0.44
256,7,0.01013,0.296,2.3437,1.8019,0.399,0.465
257,8,0.02193,0.296,2.4254,1.8951,0.33,0.397
258,9,0.03641,0.296,2.293,1.7638,0.387,0.477
259,7,0.02044,0.296,2.3163,1.8104,0.395,0.452
260,7,0.01745,0.296,2.3315,1.7914,0.392,0.465
261,10,0.01394,0.296,2.4042,1.8391,0.399,0.458
262,15,0.02224,0.296,2.2966,1.7655,0.438,0.503
263,18,0.00969,0.444,2.2608,1.7341,0.377,0.464
264,7,0.02997,0.444,2.3121,1.8138,0.429,0.51
265,11,0.02412,0.444,2.3157,1.7784,0.38,0.463
266,7,0.02407,0.444,2.2699,1.78,0.414,0.488
267,11,0.03238,0.444,2.3019,1.7337,0.342,0.435
268,9,0.04349,0.296,2.2814,1.7662,0.412,0.518
269,15,0.02849,0.296,2.3227,1.8202,0.377,0.447
270,7,0.02079,0.296,2.3218,1.7405,0.395,0.463
271,8,0.0173,0.296,2.432,1.8159,0.321,0.383
272,13,0.01001,0.296,2.3014,1.8573,0.466,0.515
273,7,0.01945,0.296,2.2451,1.735,0.453,0.507
274,8,0.01581,0.296,2.2825,1.8079,0.437,0.504
275,8,0.02006,0.296,2.3096,1.7256,0.423,0.465
276,12,0.04448,0.198,2.3057,1.8353,0.376,0.467
277,12,0.01799,0.198,2.2843,1.7654,0.444,0.491
278,13,0.01591,0.198,2.2861,1.7861,0.409,0.478
279,11,0.01896,0.198,2.2354,1.7289,0.458,0.502
280,15,0.02295,0.198,2.3818,1.7809,0.388,0.452
281,7,0.02026,0.198,2.2158,1.7205,0.435,0.486
282,8,0.00553,0.296,2.3351,1.7378,0.37,0.421
283,10,0.01435,0.296,2.3026,1.8326,0.392,0.462
284,8,0.03084,0.296,2.331,1.7085,0.312,0.415
285,11,0.0272,0.296,2.3217,1.8277,0.398,0.455
286,8,0.02832,0.296,2.257,1.7168,0.389,0.461
287,17,0.02264,0.296,2.2939,1.7958,0.396,0.462
288,11,0.01356,0.296,2.2383,1.7213,0.426,0.515
289,19,0.02747,0.296,2.3392,1.8093,0.382,0.462
290,13,0.02199,0.296,2.2766,1.7307,0.408,0.489
291,11,0.01764,0.296,2.3227,1.726,0.327,0.418
292,7,0.02359,0.296,2.2852,1.7298,0.354,0.429
293,11,0.01658,0.296,2.2158,1.7315,0.392,0.479
294,7,0.02136,0.296,2.2906,1.7506,0.389,0.455
